Name,Sex,Year,Count
Ruby,F,1927,7264
Ruby,F,1926,7475
Ruby,F,1917,7662
Ruby,F,1916,7686
Ruby,F,1925,7843
Ruby,F,1922,8003
Ruby,F,1918,8134
Ruby,F,1923,8232
Ruby,F,1921,8333
Ruby,F,1919,8334
Ruby,F,1920,8336
Ruby,F,1924,8406
